cores,input,average_runtime
32,0,0.12693428993225098
32,0,0.12276816368103027
32,0,0.12276053428649902
32,0,0.12022590637207031
32,0,0.12353920936584473
32,0,0.12424945831298828
32,0,0.12321257591247559
32,0,0.12235569953918457
32,0,0.1206200122833252
32,0,0.12390017509460449
32,1,0.28527140617370605
32,1,0.2459104061126709
32,1,0.24843192100524902
32,1,0.247145414352417
32,1,0.24474263191223145
32,1,0.24347400665283203
32,1,0.24298906326293945
32,1,0.2453162670135498
32,1,0.24709272384643555
32,1,0.24463152885437012
32,2,0.40864133834838867
32,2,0.36463308334350586
32,2,0.3633847236633301
32,2,0.35570335388183594
32,2,0.3663654327392578
32,2,0.3626987934112549
32,2,0.36402177810668945
32,2,0.3570973873138428
32,2,0.35702061653137207
32,2,0.35553860664367676
32,3,0.5621330738067627
32,3,0.4962899684906006
32,3,0.476909875869751
32,3,0.47623205184936523
32,3,0.49564695358276367
32,3,0.4979434013366699
32,3,0.4836890697479248
32,3,0.4860539436340332
32,3,0.5000481605529785
32,3,0.5005848407745361
32,4,0.7009279727935791
32,4,0.7112386226654053
32,4,0.705949068069458
32,4,0.6883060932159424
32,4,0.7067611217498779
32,4,0.693803071975708
32,4,0.7044923305511475
32,4,0.706557035446167
32,4,0.6954953670501709
32,4,0.6938767433166504
32,5,0.9771294593811035
32,5,0.9627375602722168
32,5,0.9739253520965576
32,5,1.0029025077819824
32,5,0.9652533531188965
32,5,0.9546892642974854
32,5,0.9736180305480957
32,5,0.9762535095214844
32,5,0.9674050807952881
32,5,0.9746959209442139
32,6,1.9120583534240723
32,6,1.7872588634490967
32,6,1.7574968338012695
32,6,1.7809762954711914
32,6,1.729130744934082
32,6,1.7605481147766113
32,6,1.81884765625
32,6,1.7795188426971436
32,6,1.7953240871429443
32,6,1.7589561939239502
32,7,5.428728342056274
32,7,5.277757883071899
32,7,5.271020174026489
32,7,5.217185974121094
32,7,5.219055652618408
32,7,5.6529529094696045
32,7,5.208416700363159
32,7,5.769909143447876
32,7,5.396871566772461
32,7,5.318117618560791
32,8,11.18216872215271
32,8,10.848679780960083
32,8,10.83153247833252
32,8,11.061673641204834
32,8,10.845417022705078
32,8,14.464503765106201
32,8,10.868408203125
32,8,13.35837984085083
32,8,10.751449823379517
32,8,10.800752639770508
32,9,21.585263967514038
32,9,24.839234113693237
32,9,21.75250816345215
32,9,21.588499307632446
32,9,23.278809547424316
32,9,21.548011302947998
32,9,21.28390097618103
32,9,21.478185415267944
32,9,21.540018320083618
32,9,21.80783247947693
31,0,0.12465739250183105
31,0,0.1256575584411621
31,0,0.12196516990661621
31,0,0.12053751945495605
31,0,0.1222071647644043
31,0,0.12122011184692383
31,0,0.12309455871582031
31,0,0.12134718894958496
31,0,0.1213383674621582
31,0,0.12251138687133789
31,1,0.24657082557678223
31,1,0.24382972717285156
31,1,0.24262213706970215
31,1,0.24669361114501953
31,1,0.24455666542053223
31,1,0.24391746520996094
31,1,0.24463915824890137
31,1,0.24520206451416016
31,1,0.2402207851409912
31,1,0.24256014823913574
31,2,0.3601090908050537
31,2,0.35610413551330566
31,2,0.35825347900390625
31,2,0.35468602180480957
31,2,0.3536992073059082
31,2,0.35355544090270996
31,2,0.36629295349121094
31,2,0.3601381778717041
31,2,0.3962254524230957
31,2,0.36351966857910156
31,3,0.49683165550231934
31,3,0.5014321804046631
31,3,0.4845850467681885
31,3,0.4974055290222168
31,3,0.48998069763183594
31,3,0.4902510643005371
31,3,0.5042917728424072
31,3,0.49340152740478516
31,3,0.48976564407348633
31,3,0.4945805072784424
31,4,0.7097921371459961
31,4,0.7051091194152832
31,4,0.7358999252319336
31,4,0.7005131244659424
31,4,0.721606969833374
31,4,0.7135767936706543
31,4,0.7141432762145996
31,4,0.6997854709625244
31,4,0.7354154586791992
31,4,0.7215664386749268
31,5,0.98883056640625
31,5,0.9715049266815186
31,5,0.9668610095977783
31,5,0.9709110260009766
31,5,0.9932281970977783
31,5,0.9620006084442139
31,5,0.9674170017242432
31,5,0.9612228870391846
31,5,1.0420184135437012
31,5,0.9736878871917725
31,6,1.7883076667785645
31,6,1.7468509674072266
31,6,1.7655858993530273
31,6,1.7648570537567139
31,6,1.7677927017211914
31,6,1.7945594787597656
31,6,1.7732863426208496
31,6,1.8116977214813232
31,6,1.8094429969787598
31,6,1.7534770965576172
31,7,5.44118595123291
31,7,5.275843381881714
31,7,5.845785140991211
31,7,5.301659345626831
31,7,5.33948540687561
31,7,5.396225452423096
31,7,5.415219068527222
31,7,5.357172012329102
31,7,5.395856142044067
31,7,5.6248414516448975
31,8,10.891252040863037
31,8,10.959441661834717
31,8,10.895648956298828
31,8,10.940792322158813
31,8,11.024167537689209
31,8,11.015031099319458
31,8,10.8954176902771
31,8,10.88520860671997
31,8,10.949272871017456
31,8,13.661619663238525
31,9,21.604369401931763
31,9,21.793741941452026
31,9,21.562326431274414
31,9,21.855558156967163
31,9,21.64336371421814
31,9,21.716211318969727
31,9,21.760022401809692
31,9,21.66028118133545
31,9,22.617383003234863
31,9,21.61093759536743
30,0,0.11919188499450684
30,0,0.12109851837158203
30,0,0.12002229690551758
30,0,0.12327718734741211
30,0,0.12280726432800293
30,0,0.12137436866760254
30,0,0.12099337577819824
30,0,0.11996126174926758
30,0,0.12231922149658203
30,0,0.12259030342102051
30,1,0.2449173927307129
30,1,0.24238228797912598
30,1,0.23912405967712402
30,1,0.2415146827697754
30,1,0.24339675903320312
30,1,0.2409358024597168
30,1,0.23714947700500488
30,1,0.2421712875366211
30,1,0.24113798141479492
30,1,0.2424633502960205
30,2,0.3668234348297119
30,2,0.355419397354126
30,2,0.35068273544311523
