cores,input,average_runtime,speedup,efficiency
32,0,0.12299036979675293,0.860687707299863,0.02689649085312072
31,0,0.12208616733551025,0.8670621882118826,0.027969748006834924
30,0,0.12123644351959229,0.8731392667686,0.02910464222562
29,0,0.12013721466064453,0.8811282973335556,0.03038373439081226
28,0,0.11927151679992676,0.8875237126220114,0.03169727545078612
27,0,0.11958038806915283,0.885231275040798,0.03278634352002956
26,0,0.11760079860687256,0.9001324876559417,0.03462048029445929
25,0,0.11745953559875488,0.9012150342730599,0.036048601370922397
24,0,0.11665654182434082,0.9074184588784225,0.03780910245326761
23,0,0.1164088249206543,0.9093494369733786,0.0395369320423208
22,0,0.11525607109069824,0.9184444550172831,0.04174747522805832
21,0,0.11467397212982178,0.9231065902251144,0.0439574566773864
20,0,0.11365747451782227,0.9313624101662632,0.04656812050831316
19,0,0.11350655555725098,0.9326007549135547,0.04908425025860814
18,0,0.11143267154693604,0.9499574759431515,0.05277541533017508
17,0,0.11134159564971924,0.9507345281214903,0.055925560477734726
16,0,0.11070704460144043,0.9561839518110691,0.05976149698819182
15,0,0.11006021499633789,0.9618034946038568,0.06412023297359046
14,0,0.1098945140838623,0.9632537191032932,0.06880383707880665
13,0,0.1085129976272583,0.9755172349394083,0.07503978730303142
12,0,0.10829448699951172,0.9774855796750473,0.08145713163958727
11,0,0.10537111759185791,1.0046045047215972,0.09132768224741793
10,0,0.10554015636444092,1.0029954762886366,0.10029954762886366
9,0,0.10503125190734863,1.0078552571544015,0.11198391746160016
8,0,0.10398674011230469,1.0179788238962564,0.12724735298703205
7,0,0.10346829891204834,1.023079537533628,0.14615421964766112
6,0,0.10327160358428955,1.0250281367416787,0.1708380227902798
5,0,0.10298395156860352,1.027891217883717,0.2055782435767434
4,0,0.1023716926574707,1.0340387723637448,0.2585096930909362
3,0,0.10299503803253174,1.0277805748942401,0.3425935249647467
2,0,0.10286688804626465,1.0290609681195027,0.5145304840597513
1,0,0.10585629940032959,1.0,1.0
32,1,0.24561333656311035,1.0264687524571021,0.03207714851428444
31,1,0.24423706531524658,1.032252884480691,0.03329848014453842
30,1,0.24184298515319824,1.042471482102561,0.0347490494034187
29,1,0.23947620391845703,1.0527743927935678,0.03630256526874372
28,1,0.23970258235931396,1.051780138066443,0.03756357635951583
27,1,0.23759257793426514,1.0611207528482427,0.03930076862400899
26,1,0.23652231693267822,1.0659223131173792,0.04099701204297612
25,1,0.23585212230682373,1.0689512254665345,0.042758049018661384
24,1,0.23327577114105225,1.0807569681821736,0.0450315403409239
23,1,0.23237669467926025,1.0849384681916794,0.047171237747464324
22,1,0.23181462287902832,1.0875690758314556,0.049434957992338886
21,1,0.2282402515411377,1.1046010222404679,0.05260004867811752
20,1,0.2257457971572876,1.1168066840823723,0.055840334204118616
